FIELD1,FIELD2,FIELD3
HTOR,2574,5
HTOR,2575,5
HTOR,2576,5
HTOR,2577,5
HTOR,2578,4
HTOR,2579,4
HTOR,2580,4
HTOR,2581,5
HTOR,2582,5
HTOR,2583,5
HTOR,2586,4
HTOR,2587,4
HTOR,2588,4
HTOR,2589,1
HTOR,2590,1
HTOR,2591,2
HTOR,2592,2
HTOR,2593,3
HTOR,2594,3
HTOR,2595,3
HTOR,2596,3
HTOR,2597,3
HTOR,2598,2
HTOR,2599,5
HTOR,2600,5
HTOR,2601,3
HTOR,2602,3
HTOR,2603,4
HTOR,2604,4
HTOR,2605,4
HTOR,2606,1
HTOR,2607,1
HTOR,2608,1
HTOR,2609,3
HTOR,2610,3
HTOR,2611,5
HTOR,2612,4
HTOR,2613,4
HTOR,2614,4
HTOR,2615,2
HTOR,2616,2
HTOR,2617,2
HTOR,2618,1
HTOR,2619,1
HTOR,2620,1
